"File","Line","Type","Text","Prev","Next"
"ai-ml\idea\intelligent-apps-image-processing-content.md","31","service-reference","- [Azure Cosmos DB](/azure/well-architected/service-guides/cosmos-db) is a NoSQL database. In this architecture, Azure Cosmos DB stores metadata about each image that is uploaded, including the results of the processing from Computer Vision API.","",""
"ai-ml\idea\intelligent-apps-image-processing-content.md","36","service-reference","- [Custom Vision Service](/azure/ai-services/custom-vision-service/overview). The Computer Vision API returns a set of [taxonomy-based categories][cv-categories]. If you need to process information that isn't returned by the Computer Vision API, consider the Custom Vision Service, which lets you build custom image classifiers. To learn about this service, follow the quick start [Build an image classification model with the Custom Vision](/azure/ai-services/custom-vision-service/getting-started-build-a-classifier).","- [Azure OpenAI GPT-4o and GPT-4o-mini](/azure/ai-services/openai/concepts/gpt-with-vision). GPT-4o and GPT-4o-mini are multimodal chat models from OpenAI that can answer general questions about what's present in the images you provide.","- [Azure AI Search](/azure/search/search-what-is-azure-search). If your use case involves querying the metadata to find images that meet specific criteria, consider using Azure AI Search."
"ai-ml\idea\intelligent-apps-image-processing-content.md","39","service-reference","- If you have images embedded in documents, use [Azure AI Document Intelligence](/azure/ai-services/document-intelligence/concept-layout#figures) to locate those images. With that information, you can extract and perform further computer vision tasks on the embedded images. Use Document Intelligence to gather data about those embedded images, such page number or caption text which can be stored along with the images' other metadata received through the Computer Vision API. If your images are mainly photos or scans of documents, use the [Document Intelligence custom classification models](/azure/ai-services/document-intelligence/train/custom-classifier?view=doc-intel-4.0.0) to perform classification of an input file one page at a time to identify the documents within. This approach can also identify multiple documents or multiple instances of a single document within an input file.","- [Logic Apps](https://azure.microsoft.com/services/logic-apps). If you don't need to react in real-time on added files to a blob, you might consider using Logic Apps. A logic app which can check if a file was added might be start by the [recurrence trigger or sliding windows trigger](/azure/logic-apps/concepts-schedule-automated-recurring-tasks-workflows).",""
"ai-ml\idea\intelligent-apps-image-processing-content.md","53","inline","- **Classifying telemetry data from screenshots of games.** The classification of video games from screenshots is evolving into a relevant problem in social media, coupled with computer vision. For example, when Twitch streamers play different games in succession, they might skip manually updating their stream information. Failure to update stream information could result in the misclassification of streams in user searches and might lead to the loss of potential viewership for both the content creators and the streaming platforms. While introducing novel games, a custom model route could be helpful to introduce the capability to detect novel images from those games.","",""
"ai-ml\idea\intelligent-apps-image-processing.yml","4","metadata","description: Learn how to build image processing into your applications by using Azure services such as the Computer Vision API and Azure Functions.","title: Image classification on Azure","author: HanWang"
"ai-ml\idea\intelligent-apps-image-processing.yml","22","metadata","summary: Learn how to build image processing into your applications by using Azure services such as the Computer Vision API and Azure Functions.","- media","products:"
"ai-ml\idea\many-models-machine-learning-azure-machine-learning-content.md","137","inline","- The Machine Learning and compute clusters solution provides versatility for situations that require complex setup. For example, you can make use of a custom Docker container, download files, or download pretrained models. Computer vision and natural language processing deep learning are examples of applications that might require this versatility.","",""
"ai-ml\index.md","43","inline","In your workload design, you might use machine learning if your scenario includes past observations that you can reliably use to predict future situations. These observations can be universal truths, such as computer vision that detects one form of animal from another. Or these observations can be specific to your situation, such as computer vision that detects a potential assembly mistake on your assembly lines based on past warranty claim data.","",""
"ai-ml\index.md","57","inline","*Generative AI* trains models to generate original content based on many forms of content, such as natural language, computer vision, audio, or image input. With generative AI, you can describe a desired output in everyday language, and the model can respond by creating appropriate text, image, and code. Examples of generative AI applications include Microsoft Copilot and Azure OpenAI Service.","",""
"aws-professional\data-ai.md","154","service-reference","| [Amazon Rekognition](https://aws.amazon.com/rekognition/)               | [Azure AI Vision](/azure/ai-services/computer-vision/overview/) with [Azure AI Custom Vision](/azure/ai-services/custom-vision-service/overview/)  | Amazon Rekognition is a computer vision service for image and video analysis. It provides object detection, facial recognition, and text extraction. Azure AI Vision delivers prebuilt models for image and video understanding. You can use Custom Vision to train domain-specific models with your own data. |","|  -------  | ------  |--|","| [Amazon Polly](https://aws.amazon.com/polly/) | [Azure AI Speech text-to-speech](https://azure.microsoft.com/products/ai-services/ai-speech) | Amazon Polly is a text-to-speech service that converts text into lifelike speech by using neural voices across multiple languages. AI Speech text-to-speech provides high-quality neural voices, real-time streaming, and batch synthesis for applications such as voice assistants, interactive voice response (IVR) systems, and accessibility solutions. AI Speech also supports custom neural voice creation to build unique, brand-specific voices while maintaining enterprise-grade security and compliance. |"
"data-guide\ai-services\image-video-processing.md","171","link","- [Learning path: Microsoft Azure AI fundamentals: Computer vision](/training/paths/explore-computer-vision-microsoft-azure/)","- [Learning path: Get started with AI services](/training/paths/get-started-azure-ai)","- [Learning path: Create computer vision solutions with Vision](/training/paths/create-computer-vision-solutions-azure-ai/)"
"data-guide\ai-services\image-video-processing.md","172","link","- [Learning path: Create computer vision solutions with Vision](/training/paths/create-computer-vision-solutions-azure-ai/)","- [Learning path: Microsoft Azure AI fundamentals: Computer vision](/training/paths/explore-computer-vision-microsoft-azure/)","- [Learning path: Create an image recognition solution with Azure IoT Edge and AI services](/training/modules/create-image-recognition-solution-iot-edge-cognitive-services/)"
"example-scenario\ai\media\mass-ingestion-newsfeeds-architecture.svg","735","diagram-label","<desc>Computer Vision service</desc>","<title>Sheet.153</title>","<g id=""shape154-225"" v:mID=""154"" v:groupContext=""shape"">"
"example-scenario\ai\media\mass-ingestion-newsfeeds-architecture.svg","742","diagram-label","<desc>Computer Vision service</desc>","<title>Sheet.155</title>","<v:textBlock v:margins=""rect(0,0,0,0)""/>"
"example-scenario\ai\media\mass-ingestion-newsfeeds-architecture.svg","746","diagram-label","<text x=""0"" y=""599.7"" class=""st20"" v:langID=""1033""><v:paragraph/><v:tabList/>Computer Vision service</text>				</g>","<rect x=""0"" y=""589.8"" width=""253.001"" height=""13.2001"" class=""st3""/>","</g>"
"feed.atom","1248","feed-summary","<summary type=""html""><![CDATA[Learn how to implement an architecture that automates video analysis by using Azure Machine Learning and Computer Vision.]]></summary>","<updated>2025-09-08T17:26:18.000Z</updated>","<category label=""updated"" term=""updated""/>"
"feed.atom","1280","feed-summary","<summary type=""html""><![CDATA[Learn how to build image processing into your applications by using Azure services such as the Computer Vision API and Azure Functions.]]></summary>","<updated>2025-09-08T17:26:18.000Z</updated>","<category label=""updated"" term=""updated""/>"
"gcp-professional\services.md","117","link","| [Cloud Vision API - Computer Vision](https://cloud.google.com/vision) | [Azure AI Services Computer Vision](https://azure.microsoft.com/resources/cloud-computing-dictionary/what-is-computer-vision/) | Use visual data processing to enable computers to identify and understand objects and people in images and videos, label content, from objects to concepts, extract printed and handwritten text, recognize familiar subjects like brands and landmarks, and moderate content. |","| [TensorFlow](https://www.tensorflow.org/) | [ONNX (Open Neural Network Exchange)](https://onnx.ai) | ONNX is an open format built to represent machine learning models that facilitate maximum compatibility and increased inference performance. |","| [Natural Language AI](https://cloud.google.com/natural-language) | [Azure AI Language](https://azure.microsoft.com/services/cognitive-services/text-analytics) | Azure AI Language is a managed service for developing natural language processing applications. Identify key terms and phrases, analyze sentiment, summarize text, and build conversational interfaces. |"
"gcp-professional\services.md","122","custom-vision-comparison","| [AutoML Vision](https://cloud.google.com/automl) | [Azure AI Custom Vision](https://azure.microsoft.com/products/ai-services/ai-custom-vision) | Customize and embed computer vision models for specific domains. Example use cases include customer experience, manufacturing, and marketing. No machine learning expertise is required. |","| [AutoML Tables – Structured Data](https://cloud.google.com/automl-tables) | [ML.NET Model Builder](https://dotnet.microsoft.com/apps/machinelearning-ai/ml-dotnet/model-builder) | ML.NET Model Builder provides a visual interface to build, train, and deploy custom machine learning models. Prior machine learning expertise isn't required. Model Builder supports AutoML, which automatically explores different machine learning algorithms and settings to help you find the one that best suits your scenario. |","| [AutoML Video Intelligence](https://cloud.google.com/video-intelligence) | [Azure Video Indexer](https://vi.microsoft.com) | Extract insights from your videos and enrich applications to enhance discovery and engagement. |"
"gcp-professional\services.md","141","service-reference","| [Image classification on Azure](/azure/architecture/ai-ml/idea/intelligent-apps-image-processing) | Learn how to build image processing into your applications by using Azure services such as the Computer Vision API and Azure Functions. |","|----|----|",""
"guide\multitenant\approaches\ai-machine-learning.md","132","inline","Azure has several services that provide AI and machine learning technology across a range of domains. These domains include language understanding, speech recognition, knowledge, document and form recognition, and computer vision. Azure delivers prebuilt AI and machine learning services through a unified AI application service called [Azure AI Foundry](https://azure.microsoft.com/products/ai-foundry). This service gives users access to various models, including [Azure OpenAI in Foundry Models](https://azure.microsoft.com/products/ai-services/openai-service), formerly known as Azure OpenAI Service. Azure also provides a set of standalone AI services, including [Azure AI Search](/azure/search/search-what-is-azure-search) and [Azure AI Document Intelligence](https://azure.microsoft.com/products/ai-services/ai-document-intelligence). Each service provides a simple interface for integration and a collection of pretrained and tested models. As managed services, they provide service-level agreements and require little configuration or ongoing management. You don't need to develop or test your own models to use these services.","",""
"reference-architectures\containers\aks-gpu\gpu-aks-content.md","25","heading","#### Computer vision and image processing","",""
"reference-architectures\containers\aks-gpu\gpu-aks-content.md","27","inline","Computer vision tasks interpret visual data to extract meaningful information. These tasks are increasingly common in AI-powered applications, autonomous vehicles, medical imaging, surveillance systems, and augmented reality. GPUs use parallel processing, so they can efficiently handle large-scale image data and complex computations for tasks like object detection, image classification, and feature extraction.","",""
"reference-architectures\containers\aks-gpu\gpu-aks-content.md","35","inline","To accelerate computer vision tasks like object detection, object tracking, and image or video processing, you can use frameworks like [OpenCV](https://opencv.org/), [OpenCL](https://www.khronos.org/opencl/), [NVIDIA CUDA](https://developer.nvidia.com/cuda-toolkit), and [NVIDIA cuDNN](https://developer.nvidia.com/cudnn).","",""
"reference-architectures\containers\aks-gpu\gpu-aks-content.md","49","inline","Consider cost implications before you deploy GPU nodes in AKS clusters. Understand GPU optimization for compute-intensive tasks like computer vision, video processing, HPC, and genomic analysis tasks. Consider these factors when you compare GPU resources versus CPU resources in AKS clusters.","",""
