"File","Line","Type","Text","Prev","Next"
"data-guide\ai-services\image-video-processing.md","48","inline","- **Don't use** Custom Vision for basic visual analysis. Use vision-capable models from Azure OpenAI or open-source models in Machine Learning instead.","",""
"data-guide\ai-services\image-video-processing.md","80","heading","### Custom Vision","",""
"data-guide\ai-services\image-video-processing.md","82","service-reference","[Custom Vision](/azure/ai-services/custom-vision-service/overview) is an image recognition service that you can use to build, deploy, and improve your image identifier models. An image identifier applies labels to images according to their visual characteristics. Each label represents a classification or object. Use Custom Vision to specify your own labels and train custom models to detect them.","",""
"data-guide\ai-services\image-video-processing.md","84","inline","Custom Vision uses a machine learning algorithm to analyze images for custom features. You submit sets of images that do have and don't have the visual characteristics that you want. Then you label the images with your own labels, or *tags*, at the time of submission. The algorithm trains to this data and calculates its own accuracy by testing itself on the same images. After you train your model, you can test, retrain, and eventually use the model in your image recognition app to classify images or detect objects. You can also export the model for offline use.","",""
"data-guide\ai-services\image-video-processing.md","88","inline","The following table provides a list of capabilities available in Custom Vision.","",""
"data-guide\ai-services\image-video-processing.md","97","inline","The following table provides a list of possible use cases for Custom Vision.","",""
"data-guide\ai-services\image-video-processing.md","101","link","| [Use Custom Vision with an IoT device to report visual states](/azure/iot-edge/tutorial-deploy-custom-vision). | Use Custom Vision to train a device that has a camera to detect visual states. You can run this detection scenario on an IoT device by using an exported ONNX model. A visual state describes the content of an image, such as an empty room or a room with people or an empty driveway or a driveway with a truck. |","| :----------| :---------|","| [Classify images and objects](/azure/ai-services/custom-vision-service/overview#classification-and-object-detection). | Analyze photos and scan for specific logos by training a custom model. |"
"data-guide\technology-choices\ai-services.md","35","service-reference","| [Image and video processing guide](../ai-services/image-video-processing.md) | - [Microsoft Azure AI Vision](/azure/ai-services/computer-vision/overview) <br><br> - [Microsoft Azure AI Custom Vision](/azure/ai-services/custom-vision-service/overview) <br><br> - [Microsoft Azure AI Video Indexer](/azure/azure-video-indexer/video-indexer-overview) <br><br> - [Azure AI Face](/azure/ai-services/computer-vision/overview-identity) <br><br> - Azure OpenAI |","| [Speech recognition and generation](../ai-services/speech-recognition-generation.md) | - [Microsoft Azure AI Speech](/azure/ai-services/speech-service/overview) <br><br> - [Immersive Reader](/training/educator-center/product-guides/immersive-reader/) <br><br> - Azure OpenAI |","| [Microsoft Azure AI Content Safety](/azure/ai-services/content-safety/) | Content Safety is an AI service that detects harmful user-generated and AI-generated content in applications and processes images and text to flag content that's potentially offensive or unwanted. It can automatically detect and scan content regardless of its source language. |"
"gcp-professional\services.md","122","link","| [AutoML Vision](https://cloud.google.com/automl) | [Azure AI Custom Vision](https://azure.microsoft.com/products/ai-services/ai-custom-vision) | Customize and embed computer vision models for specific domains. Example use cases include customer experience, manufacturing, and marketing. No machine learning expertise is required. |","| [AutoML Tables – Structured Data](https://cloud.google.com/automl-tables) | [ML.NET Model Builder](https://dotnet.microsoft.com/apps/machinelearning-ai/ml-dotnet/model-builder) | ML.NET Model Builder provides a visual interface to build, train, and deploy custom machine learning models. Prior machine learning expertise isn't required. Model Builder supports AutoML, which automatically explores different machine learning algorithms and settings to help you find the one that best suits your scenario. |","| [AutoML Video Intelligence](https://cloud.google.com/video-intelligence) | [Azure Video Indexer](https://vi.microsoft.com) | Extract insights from your videos and enrich applications to enhance discovery and engagement. |"
"guide\multitenant\approaches\ai-machine-learning.md","137","service-reference","- [Azure AI Custom Vision](/azure/ai-services/custom-vision-service/overview)","- [Azure custom voice](/azure/ai-services/speech-service/custom-neural-voice)","- [Face API](/azure/ai-services/computer-vision/how-to/add-faces)"
